DATE,Time,Consumption,Income
2006-01-01,1,9148.2,9705.2
2006-04-01,2,9266.6,9863.8
2006-07-01,3,9391.8,9982.5
2006-10-01,4,9484.1,10111.2
2007-01-01,5,9632.8,10255.5
2007-04-01,6,9753.2,10358.6
2007-07-01,7,9850.8,10456.9
2007-10-01,8,9988.4,10623.4
2008-01-01,9,10065.7,10764.6
2008-04-01,10,10183.0,11129.3
2008-07-01,11,10202.0,11004.7
2008-10-01,12,9967.2,10913.3
2009-01-01,13,9913.0,10879.8
2009-04-01,14,9920.1,11090.9
2009-07-01,15,10040.7,11047.0
2009-10-01,16,10131.5,11121.7
2010-01-01,17,10230.8,11215.6
2010-04-01,18,10285.4,11368.0
2010-07-01,19,10366.3,11415.1
2010-10-01,20,10525.2,11514.7
