Low,Medium,High
12.00,12.00,11.56
11.97,11.87,11.55
12.10,12.14,11.99
11.95,12.11,11.67
12.07,11.98,11.57
12.06,12.04,11.97
11.97,12.14,11.82
11.95,11.88,11.95
11.95,12.07,12.20
12.05,12.07,11.56
12.00,12.14,11.76
11.92,12.03,12.23
12.04,11.78,11.56
12.08,11.90,11.97
12.05,12.15,12.19
12.06,11.89,11.54
12.03,12.00,12.20
11.91,11.96,11.98
12.10,12.12,12.30
11.91,12.04,11.87
11.96,12.06,11.88
12.00,12.07,11.54
11.96,11.80,11.66
12.08,12.02,12.09
11.90,11.80,11.68
12.08,12.01,12.09
12.07,11.79,11.94
11.92,11.86,11.52
12.00,12.13,11.63
12.05,12.15,11.55
11.90,12.03,11.91
11.92,12.14,12.13
12.09,11.98,11.82
11.92,11.87,12.05
12.07,11.98,12.27
11.90,11.90,11.83
12.05,12.15,11.89
11.93,12.15,11.88
11.93,12.18,12.00
12.00,12.14,11.80
