Product,Estimated,Actual
1,13.90,12.90
2,18.80,15.80
3,14.80,11.80
4,11.80,11.80
5,16.80,12.80
6,14.20,13.20
7,21.80,18.80
8,6.80,10.80
9,19.50,18.50
10,21.00,19.00
11,12.40,11.40
12,15.10,18.10
13,15.80,15.80
14,24.90,23.90
15,13.20,16.20
16,25.90,23.90
17,12.80,10.80
18,12.90,11.90
19,20.50,19.50
20,19.00,18.00
21,10.80,10.80
22,10.80,13.80
23,18.80,17.80
24,12.60,11.60
25,26.80,22.80
26,22.90,24.90
27,22.80,19.80
28,12.50,16.50
29,15.50,15.50
30,14.10,13.10
31,15.10,19.10
32,12.50,10.50
33,21.90,22.90
34,24.20,20.20
35,17.80,14.80
