Firm,Return,PE,PS
1,4.4,14.37,2.41
2,-4.5,11.01,0.78
3,5.9,11.97,2.24
4,4.8,11.28,1.35
5,-11.4,9.81,1.82
6,20.6,15.65,0.8
7,64.3,16.06,1.61
8,18.5,8.98,1.01
9,-15.5,11.36,2.76
10,48.1,13.73,1.43
11,7.2,11.46,1.2
12,20.9,14.32,1.29
13,-18.3,8.17,0.81
14,3.1,9.5,2.67
15,12.1,11.17,1.97
16,-4,12.64,2.75
17,1.8,9.68,1.99
18,15.9,13.45,1.14
19,22.9,14.96,3.34
20,-1.4,8.93,2.38
21,-8.4,10.53,3.7
22,-3.7,7.91,2.2
23,15.4,16.38,4.58
24,21.2,16.29,0.87
25,6.1,15.05,2.31
26,11.7,9.17,0.99
27,13.4,14.93,1.38
28,15.6,15.59,0.91
29,0.9,12.58,0.47
30,16.3,13.94,1.94
