Pay,Class,Company,Union
15.90,24,12,7
23.70,52,17,14
20.80,52,18,15
20.40,45,23,25
16.70,37,17,14
29.30,53,24,22
21.30,40,8,3
20.20,36,3,2
21.20,51,25,19
23.60,57,10,8
28.70,49,21,23
18.20,40,17,14
19.10,29,3,0
16.50,36,3,1
22.90,39,17,15
26.50,56,22,16
26.40,48,18,15
24.10,53,2,2
28.80,63,14,11
29.30,73,23,20
26.20,66,23,22
27.10,60,8,6
26.70,59,28,25
20.50,31,10,13
17.90,39,3,3
16.90,27,13,9
28.90,61,9,7
17.10,27,8,8
22.40,56,28,25
27.30,44,5,4
21.50,49,25,29
18.80,47,17,15
19.10,32,14,12
29.00,73,12,9
19.10,31,13,11
22.50,34,14,12
28.50,63,11,7
24.60,42,2,1
22.20,40,17,14
17.20,40,2,2
24.00,41,10,8
26.20,47,13,8
18.90,34,12,10
15.50,25,4,7
24.50,59,21,18
25.80,54,4,3
24.80,55,19,15
25.10,53,8,4
18.80,36,5,3
26.70,43,2,2
